ID,Site,Longitude UTM,Latitude UTM,Elevation,Gorge,Site Nickname,Discoverer,Date of Discovery,Publication,ISBN 10,Site Pager,Number of Figures,Figure Category,Distance to next Site,Next Site,Cardinal Points,Painting Location,Water in Sight,Water Availability,Open Field in Sight,Open Field,Living Place,Spatiality,Visibility,Context,View from Site,Evidence of Human Occupation,Degradation of Paintings,Quantity of Artefacts,Lithics,Pottery,O.E.S.,Bone,Charcoal,Grinding Implements,Stone Structures,Miscellenous Artefact,Remarks,ID
542,M 2,447601.473,7669672.239,20972144,Märchen,,Shipahu,18.06.1982,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 5 – Naib Gorge (A) and the northwest. Africa Praehistorica 12 (Köln: Heinrich Barth Institut); 2000.,3-927688-18-5,M 2,14,5,5156785,P 6,NE,1,null,>300m,TRUE,adjacent,unfavourable; ± vertical rock,2,<3m,isolated,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,,542
543,N 1,454511.636,7661454.670,23123991,Numas,,,,Unpublished,NA,N 1,44,4,1813273,N 2,E; S; W,4; 5; 7; 8,null,<300m,TRUE,within shouting distance,unfavourable,null,<15m,isolated,1,"European,",disintegration of rock,medium quantity,medium quantity,none,none,none,none,none,none,none,,543
543,N 1,454511.636,7661454.670,23123991,Numas,,,,Unpublished,NA,N 1,44,4,1813273,N 2,E; S; W,4; 5; 7; 8,null,<300m,TRUE,within shouting distance,unfavourable,null,<15m,isolated,1,"European,",water run-off,medium quantity,medium quantity,none,none,none,none,none,none,none,,543
543,N 1,454511.636,7661454.670,23123991,Numas,,,,Unpublished,NA,N 1,44,4,1813273,N 2,E; S; W,4; 5; 7; 8,null,<300m,TRUE,within shouting distance,unfavourable,null,<15m,isolated,1,"European,",wind erosion,medium quantity,medium quantity,none,none,none,none,none,none,none,,543
544,N 2,455839.892,7661030.894,2318682,Numas,,,,Unpublished,NA,N 2,1,6,1813273,N 1,SW,1,null,>300m,TRUE,adjacent,± vertical rock,null,<15m,isolated,rather nice,none,none,few,few,few,few,none,none,none,none,none,,544
545,N 3,453181.036,7661576.907,23605128,Numas,,,,Unpublished,NA,N 3,130,3,6026843,H 68,E; SE; S; W,1; 4; 5; 6; 7; 8; 12,null,>300m,TRUE,adjacent,spacious,null,<15m,isolated,rather nice,none,disintegration of rock,many,few,many,none,none,none,none,none,none,,545
545,N 3,453181.036,7661576.907,23605128,Numas,,,,Unpublished,NA,N 3,130,3,6026843,H 68,E; SE; S; W,1; 4; 5; 6; 7; 8; 12,null,>300m,TRUE,adjacent,spacious,null,<15m,isolated,rather nice,none,water run-off,many,few,many,none,none,none,none,none,none,,545
546,N 4,454011.888,7661601.958,23463394,Numas,,,,Unpublished,NA,N 4,29,4,5950435,N 1,N; NW,5,null,>300m,TRUE,adjacent,unfavourable,null,<15m,isolated,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,546
547,N 5,446187.706,7659778.768,17791712,Numas,,,,Unpublished,NA,N 5,0,null,3752979,A 28,NA,NA,null,NA,null,NA,NA,null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,547
548,N 6,449161.627,7658500.466,19630055,Numas,,,,Unpublished,NA,N 6,4,6,1793575,H 76,N,3; 4,null,>300m,TRUE,adjacent,unfavourable,null,>15m,isolated,magnificent,none,none,medium quantity,medium quantity,few,none,few,medium quantity,none,medium quantity,none,,548
549,N 7,448849.389,7658879.457,18030797,Numas,,,,Unpublished,NA,N 7,13,5,1219286,A 11,N,6,null,>300m,null,within shouting distance,unfavourable,null,<3m,isolated,magnificent,European; Pager's Camp,water run-off,many,many,medium quantity,few,none,few,none,none,none,,549
550,N 8,449329.187,7658899.425,17698769,Numas,,,,Unpublished,NA,N 8,11,5,2099335,N 7,W,1,null,>300m,TRUE,adjacent,± vertical rock,null,<15m,isolated,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,550
551,N 9,449393.723,7659627.013,1654015,Numas,,,,Unpublished,NA,N 9,6,5,1956349,N 22,SE,5,null,<300m,null,NA,unfavourable,null,<3m,marginal,poor,none,water run-off,few,few,none,none,none,none,none,none,none,,551
552,N 10,447575.888,7660997.816,15179872,Numas,,,,Unpublished,NA,N 10,97,3,463567,N 11,E,5; 10; 12,null,<300m,TRUE,within shouting distance,unfavourable,null,<3m,marginal,rather nice,none,none,medium quantity,medium quantity,none,none,none,none,none,none,none,,552
553,N 11,447381.569,7660103.676,15233545,Numas,,,,Unpublished,NA,N 11,6,6,463567,N 10,E,1,null,<300m,TRUE,within shouting distance,± vertical rock,null,<15m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,553
554,N 12,447425.800,7660959.727,14758262,Numas,,,,Unpublished,NA,N 12,11,5,929775,N 13,NW,5; 8,null,<300m,null,<300m,unfavourable,null,<15m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,,554
555,N 13,447626.540,7660564.218,14802667,Numas,,,,Unpublished,NA,N 13,79,3,42927,N 14,NW,1; 12,null,<300m,TRUE,adjacent,± vertical rock,null,<15m,marginal,rather nice,none,water run-off,few,few,few,none,none,none,none,none,none,,555
556,N 14,447560.215,7660304.691,1484506,Numas,,,,Unpublished,NA,N 14,85,3,42927,N 13,SE,3; 4; 5; 8; 12,TRUE,within shouting distance,null,>300m,unfavourable,null,<15m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,,556
557,N 15,447932.564,7660584.806,14861028,Numas,,,,Unpublished,NA,N 15,2,6,431306,N 14,NW,1,null,within shouting distance,TRUE,within shouting distance,± vertical rock,null,>15m,central,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,,557
558,N 16,447689.163,7660731.959,14901014,Numas,,,,Unpublished,NA,N 16,34,4,573627,N 15,N; S,5; 6; 12,TRUE,adjacent,TRUE,adjacent,unfavourable,null,<3m,central,rather nice,NA,water run-off,few,few,none,none,none,none,none,none,none,,558
559,N 17,448737.651,7659847.788,16342851,Numas,,,,Unpublished,NA,N 17,2,6,2173604,N 18,NW,5,null,>300m,null,<300m,spacious,null,<3m,marginal,poor,none,water run-off,none,none,none,none,none,none,none,none,none,,559
560,N 18,448463.304,7659489.399,16392756,Numas,,,,Unpublished,NA,N 18,13,5,2099393,N 19,E,1,null,>300m,TRUE,adjacent,± vertical rock,null,<15m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,,560
561,N 19,448269.620,7659831.169,16580261,Numas,,,,Unpublished,NA,N 19,54,4,2099393,N 18,E; W,1; 3; 4; 5; 6; 7; 8; 12,null,>300m,TRUE,adjacent,unfavourable,null,<15m,isolated,rather nice,none,water run-off,many,many,few,none,none,none,none,none,none,,561
562,N 20,449438.405,7658523.296,1861222,Numas,,,,Unpublished,NA,N 20,20,4,4226517,H 77,NE,5; 11,null,>300m,TRUE,adjacent,unfavourable,null,<15m,isolated,magnificent,none,none,few,few,none,none,none,none,none,none,none,,562
563,N 21,449313.819,7659754.884,16778019,Numas,„Walter's“,,,Unpublished,NA,N 21,95,3,347073,N 27,SE,1,null,>300m,TRUE,within shouting distance,± vertical rock,null,>15m,central,poor,none,water run-off,none,none,none,none,none,none,none,none,none,,563
564,N 22,449903.134,7659509.174,17166305,Numas,,,,Unpublished,NA,N 22,89,3,1956349,N 9,NE,5; 10,null,<300m,TRUE,within shouting distance,unfavourable,null,<3m,isolated,rather nice,none,water run-off,medium quantity,medium quantity,few,few,none,none,none,none,none,,564
565,N 23,449168.217,7659445.551,17292206,Numas,,,,Unpublished,NA,N 23,246,2,1147919,N 24,NW,5; 6; 8; 10; 12,TRUE,within shouting distance,TRUE,within shouting distance,spacious,null,<1m; <15m,marginal,magnificent,none,water run-off,many,many,few,few,none,none,few,none,none,,565
566,N 24,449206.916,7659637.066,17118121,Numas,„Cataract“,,,Unpublished,NA,N 24,130,3,707868,N 25,NE; SE,1; 5; 7; 8; 10; 12,TRUE,adjacent,TRUE,adjacent,unfavourable; ± vertical rock,null,<15m,central,rather nice,none,water run-off,medium quantity,medium quantity,few,none,none,none,none,none,none,,566
567,N 25,449856.007,7659344.405,17245995,Numas,„Main Numas“,,,Unpublished,NA,N 25,366,2,386157,N 26,SW,4; 5; 6; 7; 8; 12,null,<300m,TRUE,adjacent,unfavourable,null,>15m,marginal,magnificent,none,disintegration of rock,masses,masses,few,few,none,none,none,none,none,,567
568,N 26,449435.764,7659956.952,17219026,Numas,,,,Unpublished,NA,N 26,24,4,386157,N 25,SW,5; 8,null,<300m,TRUE,adjacent,unfavourable,null,<3m,marginal,rather nice,none,water run-off,medium quantity,medium quantity,few,few,none,none,none,none,none,,568
569,N 27,449403.655,7659732.108,16803511,Numas,,,,Unpublished,NA,N 27,2,6,347073,N 21,NW,5,null,>300m,TRUE,within shouting distance,unfavourable,null,<1m,marginal,rather nice,none,none,few,few,none,none,none,none,none,none,none,,569
570,N 28,449183.769,7659801.342,17387171,Numas,,,,Unpublished,NA,N 28,92,3,1408255,N 23,E; S,5; 6; 10,null,<300m,TRUE,within shouting distance,spacious,null,<15m,marginal,poor,none,none,many,many,medium quantity,none,none,none,none,none,none,,570
571,N 29,449508.338,7659813.013,17276833,Numas,,,,Unpublished,NA,N 29,30,4,1461986,N 40,SE,5; 6; 11,null,<300m,null,within shouting distance,unfavourable,null,<15m,marginal,rather nice,none,fading of colours,medium quantity,medium quantity,medium quantity,none,none,none,none,none,none,,571
571,N 29,449508.338,7659813.013,17276833,Numas,,,,Unpublished,NA,N 29,30,4,1461986,N 40,SE,5; 6; 11,null,<300m,null,within shouting distance,unfavourable,null,<15m,marginal,rather nice,none,water run-off,medium quantity,medium quantity,medium quantity,none,none,none,none,none,none,,571
572,N 30,448864.734,7660697.890,17788261,Numas,,,,Unpublished,NA,N 30,102,3,3994867,N 148,E,1; 5; 6; 12,null,>300m,TRUE,within shouting distance,spacious,null,>15m,isolated,magnificent,none,water run-off,medium quantity,medium quantity,none,few,none,few,none,none,none,,572
573,N 31,449518.330,7660694.332,17303688,Numas,,,,Unpublished,NA,N 31,3,6,2350385,N 33,SW,1,null,>300m,TRUE,adjacent,± vertical rock,null,<15m,marginal,rather nice,none,none,few,few,none,none,none,none,none,none,none,,573
574,N 32,449010.255,7660891.999,17909465,Numas,,,,Unpublished,NA,N 32,7,5,506914,N 50,NA,5,null,>300m,TRUE,within shouting distance,unfavourable,null,<3m,isolated,rather nice,none,fading of colours,none,none,none,none,none,none,none,none,none,,574
574,N 32,449010.255,7660891.999,17909465,Numas,,,,Unpublished,NA,N 32,7,5,506914,N 50,NA,5,null,>300m,TRUE,within shouting distance,unfavourable,null,<3m,isolated,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,,574
575,N 33,449997.840,7660337.272,17244118,Numas,,,,Unpublished,NA,N 33,2,6,61641,N 34,NE,5,null,>300m,TRUE,within shouting distance,unfavourable,null,<15m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,,575
576,N 34,449143.941,7660094.797,17284366,Numas,,,,Unpublished,NA,N 34,4,6,409882,N 35,SE,5; 6; 7,null,<300m,TRUE,adjacent,unfavourable,null,<3m,central,rather nice,none,water run-off,medium quantity,medium quantity,none,few,none,none,none,none,none,,576
577,N 35,449035.623,7660164.690,17280713,Numas,,,,Unpublished,NA,N 35,6,5,409882,N 34,NW,5; 11,null,>300m,TRUE,within shouting distance,unfavourable,null,<3m,central,rather nice,none,fading of colours,few,few,few,none,none,none,none,none,none,,577
577,N 35,449035.623,7660164.690,17280713,Numas,,,,Unpublished,NA,N 35,6,5,409882,N 34,NW,5; 11,null,>300m,TRUE,within shouting distance,unfavourable,null,<3m,central,rather nice,none,water run-off,few,few,few,none,none,none,none,none,none,,577
578,N 36,449113.904,7660864.130,17465131,Numas,,,,Unpublished,NA,N 36,4,6,25896,N 37,SW,8,null,>300m,TRUE,within shouting distance,unfavourable,null,<15m,central,rather nice,none,none,few,few,none,none,none,none,none,none,none,,578
579,N 37,450780.645,7660381.650,17485069,Numas,,,,Unpublished,NA,N 37,7,5,25896,N 36,S,5,null,>300m,TRUE,within shouting distance,unfavourable,null,<1m,marginal,rather nice,none,none,medium quantity,medium quantity,few,none,none,none,none,none,none,,579
580,N 38,449147.694,7660992.632,17334047,Numas,,,,Unpublished,NA,N 38,12,5,862099,N 35,W,6,null,>300m,TRUE,within shouting distance,unfavourable,null,<3m,marginal,rather nice,none,none,few,few,none,none,none,none,none,none,none,,580
581,N 39,450208.563,7659899.531,17469803,Numas,,,,Unpublished,NA,N 39,76,3,1633249,N 38,W,5; 10,TRUE,within shouting distance,TRUE,within shouting distance,unfavourable,null,<15m,marginal,rather nice,none,water run-off,many,many,medium quantity,few,none,none,none,none,none,,581
582,N 40,449143.018,7659999.217,17456798,Numas,,,,Unpublished,NA,N 40,1,6,1461986,N 29,N,1,null,>300m,TRUE,>300m,± vertical rock,null,<3m,isolated,NA,none,none,none,none,none,none,none,none,none,none,none,,582
583,N 41,449074.857,7659663.305,19078696,Numas,„Elephants“,,,Unpublished,NA,N 41,15,5,3124863,N 40,E,5; 6,null,>300m,null,>300m,unfavourable,null,<15m,isolated,magnificent,none,water run-off,few,few,none,none,none,none,none,none,none,,583
584,N 42,450047.222,7660009.803,18274711,Numas,,,,Unpublished,NA,N 42,38,4,1450628,N 43,NE,1,null,>300m,TRUE,adjacent,NA,null,<15m,isolated,1,"European,",water run-off,few,few,few,few,none,none,none,none,none,,584
585,N 43,450941.647,7661306.738,18539233,Numas,,,,Unpublished,NA,N 43,100,3,1450628,N 42,N; S; SW,1; 5; 6; 7; 8; 10; 12,null,>300m,TRUE,within shouting distance,spacious,null,<15m,isolated,rather nice,European; Pager's Camp,none,many,many,few,few,none,few,few,none,none,,585
586,N 44,449387.482,7660528.178,18514726,Numas,,,,Unpublished,NA,N 44,8,5,638797,N 45,NE,1,TRUE,within shouting distance,TRUE,adjacent,± vertical rock,null,<15m,marginal,rather nice,none,water run-off,medium quantity,medium quantity,few,none,none,none,none,none,none,,586
587,N 45,449115.700,7661114.559,1858475,Numas,,,,Unpublished,NA,N 45,69,3,371102,N 46,E; SE; W,1; 2,TRUE,within shouting distance,TRUE,adjacent,± vertical rock,null,>15m,central,rather nice,Pager's Camp,fading of colours,medium quantity,medium quantity,few,few,none,none,none,none,none,,587
587,N 45,449115.700,7661114.559,1858475,Numas,,,,Unpublished,NA,N 45,69,3,371102,N 46,E; SE; W,1; 2,TRUE,within shouting distance,TRUE,adjacent,± vertical rock,null,>15m,central,rather nice,Pager's Camp,water run-off,medium quantity,medium quantity,few,few,none,none,none,none,none,,587
588,N 46,449892.032,7661472.589,1869638,Numas,,,,Unpublished,NA,N 46,7,5,371102,N 45,S,5; 6; 10,TRUE,within shouting distance,TRUE,within shouting distance,unfavourable,null,<3m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,588
589,N 47,449763.472,7660651.906,18766835,Numas,,,,Unpublished,NA,N 47,27,4,529555,N 48,SE; W,1; 2; 6; 12,null,>300m,TRUE,within shouting distance,± vertical rock,null,<15m,central,magnificent,none,fading of colours,medium quantity,medium quantity,few,few,none,few,none,none,none,,589
589,N 47,449763.472,7660651.906,18766835,Numas,,,,Unpublished,NA,N 47,27,4,529555,N 48,SE; W,1; 2; 6; 12,null,>300m,TRUE,within shouting distance,± vertical rock,null,<15m,central,magnificent,none,water run-off,medium quantity,medium quantity,few,few,none,few,none,none,none,,589
590,N 48,449511.009,7660142.822,18751796,Numas,,,,Unpublished,NA,N 48,35,4,529555,N 47,SE,1; 4; 5; 7; 12,null,>300m,TRUE,within shouting distance,unfavourable,null,<3m,marginal,magnificent,none,fading of colours,many,many,medium quantity,medium quantity,none,none,none,none,none,,590
590,N 48,449511.009,7660142.822,18751796,Numas,,,,Unpublished,NA,N 48,35,4,529555,N 47,SE,1; 4; 5; 7; 12,null,>300m,TRUE,within shouting distance,unfavourable,null,<3m,marginal,magnificent,none,disintegration of rock,many,many,medium quantity,medium quantity,none,none,none,none,none,,590
590,N 48,449511.009,7660142.822,18751796,Numas,,,,Unpublished,NA,N 48,35,4,529555,N 47,SE,1; 4; 5; 7; 12,null,>300m,TRUE,within shouting distance,unfavourable,null,<3m,marginal,magnificent,none,water run-off,many,many,medium quantity,medium quantity,none,none,none,none,none,,590
590,N 48,449511.009,7660142.822,18751796,Numas,,,,Unpublished,NA,N 48,35,4,529555,N 47,SE,1; 4; 5; 7; 12,null,>300m,TRUE,within shouting distance,unfavourable,null,<3m,marginal,magnificent,none,wind erosion,many,many,medium quantity,medium quantity,none,none,none,none,none,,590
591,N 49,449207.212,7660979.383,18777677,Numas,,,,Unpublished,NA,N 49,6,5,1308611,N 47,W,5,null,>300m,null,>300m,unfavourable,null,<3m,marginal,rather nice,none,water run-off,few,few,none,few,none,none,none,none,none,,591
592,N 50,449961.823,7660527.997,17851319,Numas,,,,Unpublished,NA,N 50,2,6,506914,N 32,W,1,null,>300m,TRUE,adjacent,± vertical rock,null,<3m,isolated,rather nice,none,fading of colours,few,few,none,none,none,none,none,none,none,,592
593,N 51,450746.426,7661167.799,19795412,Numas,,,,Unpublished,NA,N 51,9,5,1189409,N 52,N; SW,1; 2,null,>300m,TRUE,adjacent,± vertical rock,null,<15m,marginal,rather nice,none,water run-off,few,few,none,none,none,few,none,none,none,,593
594,N 52,450353.917,7661001.720,19677639,Numas,,,,Unpublished,NA,N 52,255,2,1189409,N 51,SE,5; 6; 8; 10; 12,null,>300m,null,within shouting distance,spacious,null,<15m,isolated,rather nice,none,water run-off,medium quantity,medium quantity,few,none,none,none,none,none,none,,594
595,N 53,450396.809,7660879.414,18098715,Numas,,,,Unpublished,NA,N 53,10,5,2554052,N 57,NE,5,null,>300m,null,within shouting distance,unfavourable,null,<15m,marginal,rather nice,none,water run-off,medium quantity,few,medium quantity,none,none,none,few,none,none,,595
596,N 54,450628.241,7660297.991,17502776,Numas,,,,Unpublished,NA,N 54,29,4,1902943,N 39,W,5; 9; 10; 11; 12,null,>300m,null,NA,unfavourable,null,<15m,marginal,rather nice,none,fading of colours,medium quantity,medium quantity,few,medium quantity,none,none,none,none,none,,596
596,N 54,450628.241,7660297.991,17502776,Numas,,,,Unpublished,NA,N 54,29,4,1902943,N 39,W,5; 9; 10; 11; 12,null,>300m,null,NA,unfavourable,null,<15m,marginal,rather nice,none,water run-off,medium quantity,medium quantity,few,medium quantity,none,none,none,none,none,,596
597,N 55,450439.382,7660612.461,17710433,Numas,,,,Unpublished,NA,N 55,15,5,1686377,N 56,N; E; SW; W,1; 4; 5; 12,null,>300m,TRUE,adjacent,unfavourable; ± vertical rock,null,<3m,marginal,rather nice,none,water run-off,few,few,few,none,none,none,none,none,none,,597
598,N 56,450223.963,7660557.016,17799809,Numas,,,,Unpublished,NA,N 56,3,6,802138,N 57,W,1,null,>300m,null,<300m,± vertical rock,null,<15m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,598
599,N 57,450440.658,7660465.842,17878424,Numas,,,,Unpublished,NA,N 57,1,6,802138,N 56,SE,4,null,>300m,TRUE,adjacent,unfavourable,null,<15m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,599
600,N 58,450667.065,7660562.933,17969204,Numas,,,,Unpublished,NA,N 58,2,6,376031,N 59,E,5,null,>300m,null,within shouting distance,unfavourable,null,<3m,central,poor,none,water run-off,few,few,few,none,none,none,none,none,none,,600
601,N 59,450165.198,7660844.905,17925712,Numas,,,,Unpublished,NA,N 59,4,6,376031,N 58,E; SW,4; 5,null,>300m,TRUE,within shouting distance,unfavourable,null,<15m,central,rather nice,none,water run-off,few,few,few,none,none,none,none,none,none,,601
602,N 60,450199.781,7660653.621,1784421,Numas,,,,Unpublished,NA,N 60,90,3,555755,N 59,SW,3; 4; 5; 6; 10,null,>300m,TRUE,within shouting distance,unfavourable,null,>15m,central,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,,602
603,N 61,450259.666,7660105.847,18438293,Numas,,,,Unpublished,NA,N 61,1,6,1823627,N 58,SW,5,null,>300m,TRUE,adjacent,NA,null,<1m,isolated,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,603
604,N 62,450385.476,7660687.191,18206334,Numas,,,,Unpublished,NA,N 62,118,3,1578556,N 64,W,5; 6; 7; 12,null,>300m,TRUE,within shouting distance,unfavourable,null,>15m,marginal,rather nice,Pager's Camp,water run-off,many,medium quantity,many,none,none,none,none,none,none,,604
605,N 63,450593.105,7661765.229,18063268,Numas,,,,Unpublished,NA,N 63,5,5,907592,N 64,SW,4,null,within shouting distance,TRUE,within shouting distance,unfavourable,null,<15m,marginal,rather nice,none,none,few,few,none,few,none,none,none,none,none,,605
606,N 64,450337.049,7661690.741,18164495,Numas,,,,Unpublished,NA,N 64,4,6,907592,N 63,SE,4; 8,TRUE,within shouting distance,null,<300m,unfavourable,null,<3m,central,rather nice,none,water run-off,few,few,medium quantity,none,none,none,none,none,none,,606
607,N 65,450963.728,7661580.799,18214645,Numas,,,,Unpublished,NA,N 65,12,5,1205943,N 64,S,5,null,>300m,TRUE,within shouting distance,unfavourable,null,<15m,marginal,rather nice,none,water run-off,many,many,few,few,none,none,none,none,none,,607
608,N 66,450601.822,7661345.974,18527258,Numas,,,,Unpublished,NA,N 66,34,4,1443354,N 65,SW,5; 6; 10,null,>300m,TRUE,within shouting distance,spacious,null,<15m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,,608
609,N 67,451416.619,7661094.802,19092487,Numas,,,,Unpublished,NA,N 67,7,5,438696,N 68,NW,1,TRUE,within shouting distance,null,>300m,± vertical rock,null,<15m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,609
610,N 68,451018.005,7661691.518,19150837,Numas,,,,Unpublished,NA,N 68,120,3,438696,N 67,NE; SE; SW,1; 4; 5; 6; 7; 8; 10; 12,TRUE,within shouting distance,null,NA,unfavourable,null,<1m; <3m; <15m,marginal,rather nice,Pager's Camp,water run-off,none,none,few,none,none,none,none,none,none,,610
611,N 69,451193.279,7661313.858,20000711,Numas,,,,Unpublished,NA,N 69,4,6,877328,N 70,SW,1,null,<300m,null,<300m,± vertical rock,null,<15m,marginal,rather nice,none,none,none,none,none,none,none,none,none,none,none,,611
612,N 70,451526.676,7662754.045,20144314,Numas,,,,Unpublished,NA,N 70,101,3,877328,N 69,SE; S; SW,1; 4; 5; 6; 12,null,<300m,TRUE,adjacent,unfavourable,null,<15m,marginal,rather nice,Pager's Camp,water run-off,medium quantity,medium quantity,medium quantity,few,none,none,none,none,none,,612
613,N 71,451371.689,7662607.039,19838897,Numas,,,,Unpublished,NA,N 71,15,5,804529,N 72,S; W,1; 12,null,<300m,TRUE,adjacent,± vertical rock,null,<15m,marginal,rather nice,none,water run-off,few,few,few,none,none,none,none,none,none,,613
614,N 72,451668.333,7662934.692,19934386,Numas,,,,Unpublished,NA,N 72,31,4,279065,N 73,NW,4,null,>300m,null,<300m,NA,null,<3m,central,poor,none,water run-off,few,few,none,none,none,none,none,none,none,,614
615,N 73,451446.801,7662791.565,20013378,Numas,,,,Unpublished,NA,N 73,3,6,279065,N 72,E,1,null,>300m,null,<300m,± vertical rock,null,<3m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,,615
616,N 74,451867.845,7662201.587,20080979,Numas,,,,Unpublished,NA,N 74,14,5,777718,N 73,SW; NW,5; 8; 12,null,>300m,TRUE,adjacent,unfavourable,null,<15m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,616
617,N 75,451047.832,7662904.833,20340019,Numas,,,,Unpublished,NA,N 75,4,6,2282213,N 119,E,1,TRUE,within shouting distance,TRUE,adjacent,± vertical rock,null,NA,isolated,NA,none,none,none,none,none,none,none,none,none,none,none,,617
618,N 76,451672.246,7663357.218,20556293,Numas,,,,Unpublished,NA,N 76,103,3,430014,N 77,E,1; 5; 6; 8; 12,null,>300m,TRUE,adjacent,unfavourable; ± vertical rock,null,>15m,central,rather nice,none,water run-off,masses,masses,few,few,none,none,none,none,none,,618
619,N 77,451842.668,7663398.975,20585827,Numas,,,,Unpublished,NA,N 77,4,6,430014,N 76,W,5,null,>300m,TRUE,within shouting distance,unfavourable,null,<3m,central,rather nice,none,water run-off,many,medium quantity,few,many,none,none,none,none,none,,619
620,N 78,451706.073,7663694.947,20606314,Numas,,,,Unpublished,NA,N 78,67,3,447513,N 77,E; S,1; 5; 6; 8; 12,null,>300m,TRUE,adjacent,unfavourable,null,<15m,marginal,rather nice,none,water run-off,masses,many,many,masses,none,none,none,none,none,,620
621,N 79,451360.409,7663607.768,20856763,Numas,,,,Unpublished,NA,N 79,6,5,1883097,N 80,NE,1,null,>300m,TRUE,adjacent,± vertical rock,null,<3m,isolated,rather nice,none,water run-off,few,few,few,none,none,none,none,none,none,,621
622,N 80,452872.839,7663000.078,20940754,Numas,,,,Unpublished,NA,N 80,6,5,450816,N 81,N,1; 4; 5; 12,null,>300m,null,<300m,unfavourable,null,<3m,central,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,622
623,N 81,452912.076,7663649.804,20957144,Numas,,,,Unpublished,NA,N 81,14,5,450816,N 80,NE,5; 8,null,>300m,null,>300m,unfavourable,null,<15m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,623
624,N 82,452895.032,7662329.082,21031213,Numas,,,,Unpublished,NA,N 82,62,4,860973,N 83,E; S,5; 8; 12,null,>300m,TRUE,adjacent,unfavourable,null,<15m,marginal,rather nice,none,water run-off,medium quantity,medium quantity,few,none,none,none,none,none,none,,624
624,N 82,452895.032,7662329.082,21031213,Numas,,,,Unpublished,NA,N 82,62,4,860973,N 83,E; S,5; 8; 12,null,>300m,TRUE,adjacent,unfavourable,null,<15m,marginal,rather nice,none,wind erosion,medium quantity,medium quantity,few,none,none,none,none,none,none,,624
625,N 83,452445.612,7662880.814,21069924,Numas,,,,Unpublished,NA,N 83,15,5,860973,N 82,NE; SW; W,1; 3; 5; 6; 7; 8; 12,null,>300m,TRUE,within shouting distance,± vertical rock,null,<15m,marginal,rather nice,Pager's Camp,water run-off,many,many,none,few,none,none,none,none,none,,625
626,N 84,452693.983,7662582.042,21110674,Numas,,,,Unpublished,NA,N 84,7,5,1014032,N 83,N,5,null,>300m,TRUE,within shouting distance,unfavourable,null,<15m,marginal,rather nice,none,wind erosion,few,few,none,few,none,none,none,none,piece of iron,,626
627,N 85,452951.096,7662697.050,20973376,Numas,,,,Unpublished,NA,N 85,24,4,1311583,N 84,W,1,null,>300m,TRUE,within shouting distance,± vertical rock,null,<15m,central,rather nice,none,water run-off,medium quantity,medium quantity,medium quantity,medium quantity,none,none,none,none,none,,627
628,N 86,452103.626,7662915.547,2108,Numas,,,,Unpublished,NA,N 86,3,6,1369455,N 87,S,1,null,>300m,TRUE,within shouting distance,± vertical rock,null,<15m,isolated,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,,628
629,N 87,452361.578,7662259.487,21131868,Numas,,,,Unpublished,NA,N 87,86,3,1369455,N 86,N; S; W,1; 2; 5,null,>300m,TRUE,adjacent,± vertical rock,null,>15m,isolated,rather nice,none,water run-off,medium quantity,medium quantity,few,none,none,none,none,none,none,,629
630,N 88,452835.246,7663081.078,21068449,Numas,,,,Unpublished,NA,N 88,25,4,659898,N 89,SW,4,null,>300m,null,<300m,unfavourable,null,<3m,marginal,rather nice,none,water run-off,medium quantity,medium quantity,few,none,none,none,none,none,none,,630
631,N 89,452716.709,7663618.786,2104894,Numas,,,,Unpublished,NA,N 89,11,5,373094,N 90,N,3; 4; 5,null,>300m,TRUE,within shouting distance,unfavourable,null,<15m,isolated,rather nice,none,water run-off,many,many,few,few,none,none,none,none,none,,631
