ID,Site,Longitude UTM,Latitude UTM,Elevation,Gorge,Site Nickname,Discoverer,Date of Discovery,Publication,ISBN 10,Site Pager,Number of Figures,Figure Category,Distance to next Site,Next Site,Cardinal Points,Painting Location,Water in Sight,Water Availability,Open Field in Sight,Open Field,Living Place,Spatiality,Visibility,Context,View from Site,Evidence of Human Occupation,Degradation of Paintings,Quantity of Artefacts,Lithics,Pottery,O.E.S.,Bone,Charcoal,Grinding Implements,Stone Structures,Miscellenous Artefact,Remarks
635,N 93,452127.787,7663380.538,2129.7432,Numas,,,,Unpublished,NA,N 93,9,5,81.331,N 94,SW,3; 5; 8,,>300m,,within shouting distance,unfavourable,NA,<15m,isolated,rather nice,none,water run-off,medium quantity,medium quantity,medium quantity,medium quantity,none,none,none,none,none,
636,N 94,452373.889,7663815.570,2123.1083,Numas,,,,Unpublished,NA,N 94,3,6,81.331,N 93,NE,1,,>300m,,within shouting distance,± vertical rock,NA,<3m,isolated,rather nice,none,water run-off,medium quantity,medium quantity,none,none,none,none,none,none,none,
637,N 95,453024.147,7663772.958,2141.342,Numas,,,,Unpublished,NA,N 95,9,5,239.0925,N 96,W,1,,>300m,,>300m,± vertical rock,NA,<15m,isolated,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
638,N 96,453101.937,7663512.525,2158.437,Numas,,,,Unpublished,NA,N 96,59,4,81.5111,N 97,N; S,1; 3; 4; 5,,>300m,,<300m,unfavourable; ± vertical rock,NA,<15m,marginal,rather nice,Pager's Camp,water run-off,many,many,medium quantity,none,none,few,none,few,none,
639,N 97,453603.904,7663408.213,2153.6854,Numas,,,,Unpublished,NA,N 97,67,3,81.5111,N 96,SE,5; 6,,>300m,,<300m,unfavourable,NA,<15m,marginal,rather nice,Pager's Camp,water run-off,many,many,few,none,none,none,none,none,none,
640,N 98,453547.695,7663405.539,2195.2932,Numas,,,,Unpublished,NA,N 98,2,6,269.7449,N 96,N,1,,>300m,,>300m,± vertical rock,NA,<3m,isolated,magnificent,none,disintegration of rock,few,few,none,none,none,none,none,none,none,
641,N 99,453848.373,7663029.547,2160.3376,Numas,,,,Unpublished,NA,N 99,26,4,184.2441,N 100,S; NW,4; 5; 8,,>300m,True,adjacent,unfavourable,NA,<1m; <15m,NA,rather nice,none,water run-off; wind erosion,masses,masses,few,few,none,none,few,none,none,
642,N 100,454081.645,7663421.814,2166.8482,Numas,,,,Unpublished,NA,N 100,9,5,100.5286,N 101,N,1,,>300m,True,within shouting distance,± vertical rock,NA,<15m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
643,N 101,453168.624,7663200.902,2171.1018,Numas,,,,Unpublished,NA,N 101,3,6,100.5286,N 100,E,5,,>300m,,<300m,unfavourable,NA,<3m,marginal,rather nice,Pager's Camp,water run-off,none,none,none,none,none,none,none,none,none,
644,N 102,454555.667,7663225.068,2170.1402,Numas,,,,Unpublished,NA,N 102,20,4,66.2306,N 103,S,5,,>300m,,<300m,unfavourable,NA,<3m,marginal,poor,none,water run-off,few,few,none,none,none,none,none,none,none,
645,N 103,454106.211,7663520.157,2182.7042,Numas,,,,Unpublished,NA,N 103,2,6,66.2306,N 102,W,6; 8; 12,,>300m,,>300m,unfavourable,NA,<1m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,few,none,
646,N 104,454587.299,7663019.956,2174.1625,Numas,,,,Unpublished,NA,N 104,31,4,40.6773,N 105,W,1,,>300m,,<300m,± vertical rock,NA,<3m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
647,N 105,454920.582,7663255.948,2169.9335,Numas,,,,Unpublished,NA,N 105,35,4,40.6773,N 104,N; W,1; 2; 5; 12,,>300m,,<300m,unfavourable,NA,<15m,marginal,rather nice,none,water run-off,many,medium quantity,many,none,none,none,none,none,none,
648,N 106,454654.875,7663961.620,2166.116,Numas,,,,Unpublished,NA,N 106,79,3,66.6529,N 105,N; NE; E,1; 5; 6; 7; 8,,>300m,,<300m,unfavourable,NA,<15m,marginal,rather nice,none,water run-off,many,many,few,none,none,none,few,few,none,
649,N 107,454829.948,7663857.019,2197.0558,Numas,,,,Unpublished,NA,N 107,7,5,32.0741,N 108,SW,1,,>300m,True,adjacent,± vertical rock,NA,<15m,marginal,rather nice,none,water run-off,few,few,none,few,none,none,none,medium quantity,none,
650,N 108,454725.096,7663866.454,2195.0159,Numas,,,,Unpublished,NA,N 108,10,5,32.0741,N 107,SW,1,,>300m,True,within shouting distance,± vertical rock,NA,<3m,marginal,rather nice,none,water run-off,few,few,few,none,none,none,none,none,none,
651,N 109,454046.678,7663897.839,2231.1878,Numas,,,,Unpublished,NA,N 109,2,6,185.5182,N 110,W,5,,>300m,True,<300m,unfavourable,NA,<15m,marginal,rather nice,none,none,none,none,none,none,none,none,none,none,none,
652,N 110,454250.804,7663987.274,2224.9542,Numas,,,,Unpublished,NA,N 110,8,5,72.7431,N 111,NE,7,,>300m,True,within shouting distance,NA,NA,<15m,marginal,rather nice,none,water run-off,few,few,few,few,none,none,none,none,none,
653,N 111,454559.812,7663223.173,2222.5471,Numas,,,,Unpublished,NA,N 111,1,6,45.7143,N 112,SW,1,,>300m,True,within shouting distance,± vertical rock,NA,<15m,central,rather nice,none,water run-off; wind erosion,few,few,none,none,none,none,few,none,none,
654,N 112,454639.567,7663130.960,2220.2948,Numas,,,,Unpublished,NA,N 112,4,6,45.7143,N 111,SW,1,,>300m,True,adjacent,± vertical rock,NA,<15m,central,rather nice,none,water run-off,few,few,few,few,none,none,none,none,none,
655,N 113,454515.192,7663763.983,2239.0393,Numas,,,,Unpublished,NA,N 113,13,5,161.1012,N 112,W,5; 10; 11,,>300m,True,within shouting distance,unfavourable,NA,<3m,marginal,magnificent,none,water run-off,few,few,few,none,none,none,none,none,none,
656,N 114,454637.753,7664464.740,2228.181,Numas,,,,Unpublished,NA,N 114,12,5,362.3031,N 108,SW,5; 6; 8,,>300m,True,within shouting distance,unfavourable,NA,<3m,isolated,rather nice,none,water run-off,few,few,few,none,none,none,none,none,none,
657,N 115,453561.040,7664186.974,2176.1641,Numas,,,,Unpublished,NA,N 115,8,5,209.8544,N 116,E; SW,1; 4; 5; 12,,>300m,True,within shouting distance,unfavourable,NA,<3m,isolated,rather nice,none,water run-off,medium quantity,medium quantity,few,none,none,none,none,none,none,
658,N 116,452201.594,7664641.457,2201.8392,Numas,,,,Unpublished,NA,N 116,9,5,156.8628,N 117,SE; S; SW,3; 4; 5; 6,,>300m,,<300m,unfavourable,NA,<3m,marginal,rather nice,none,water run-off,many,few,medium quantity,many,none,none,none,none,none,
659,N 117,452927.247,7664510.243,2222.2244,Numas,,,,Unpublished,NA,N 117,53,4,35.6304,N 118,SE,3; 4; 5,,>300m,True,within shouting distance,unfavourable,NA,<15m,central,magnificent,none,water run-off; wind erosion,medium quantity,medium quantity,medium quantity,medium quantity,none,none,none,none,none,
660,N 118,452310.507,7664843.666,2231.6984,Numas,,,,Unpublished,NA,N 118,15,5,35.6304,N 117,SW,1,,>300m,,<300m,± vertical rock,NA,<15m,marginal,magnificent,none,water run-off,few,few,few,few,none,none,none,none,none,
661,N 119,451710.541,7663144.014,2051.4662,Numas,,,,Unpublished,NA,N 119,8,5,148.3706,N 120,SW,1,,within shouting distance,,<300m,± vertical rock,NA,<15m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
662,N 120,451479.602,7663913.176,2056.4144,Numas,,,,Unpublished,NA,N 120,3,6,63.9578,N 76,SE,1,,>300m,True,adjacent,± vertical rock,NA,<3m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
663,N 121,451846.893,7662536.657,1980.9771,Numas,,,,Unpublished,NA,N 121,2,6,193.7712,N 69,S,1,True,within shouting distance,,>300m,± vertical rock,NA,<3m,marginal,poor,none,water run-off,few,few,none,none,none,none,none,none,none,
664,N 122,450875.384,7662201.529,2229.9413,Numas,,,,Unpublished,NA,N 122,118,3,166.8321,N 124,N,1; 3; 4; 12,,>300m,True,within shouting distance,± vertical rock,NA,>15m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
665,N 123,449661.388,7662446.717,2238.3844,Numas,,,,Unpublished,NA,N 123,36,4,257.7073,N 126,NE,1,,>300m,True,within shouting distance,± vertical rock,NA,<15m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
666,N 124,450222.508,7662187.130,2234.5456,Numas,,,,Unpublished,NA,N 124,31,4,166.8321,N 122,N,1; 12,,>300m,,<300m,± vertical rock,NA,<15m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
667,N 125,450857.360,7663837.268,2276.4226,Numas,,,,Unpublished,NA,N 125,85,3,339.4124,N 124,W,3; 5; 6; 7; 8,,>300m,,>300m,unfavourable,NA,<3m,isolated,magnificent,none,none,many,few,none,many,none,none,none,none,none,
668,N 126,449550.204,7662863.625,2310.0228,Numas,,,,Unpublished,NA,N 126,101,3,252.853,N 135,N; NW,1; 3; 4; 5; 12,,>300m,,>300m,unfavourable,NA,<15m,isolated,magnificent,Pager's Camp,water run-off,medium quantity,medium quantity,few,few,none,none,none,none,none,
669,N 127,449448.553,7662787.823,2266.5174,Numas,,,,Unpublished,NA,N 127,41,4,101.1616,N 128,E,5; 8; 9,True,within shouting distance,True,within shouting distance,unfavourable,NA,<15m,marginal,rather nice,none,water run-off,medium quantity,medium quantity,medium quantity,none,none,none,none,none,none,
670,N 128,449499.110,7662497.312,2259.8686,Numas,,,,Unpublished,NA,N 128,6,5,101.1616,N 127,NE,1; 12,True,within shouting distance,True,adjacent,± vertical rock,NA,<15m,marginal,rather nice,none,water run-off,medium quantity,medium quantity,medium quantity,none,none,none,none,none,none,
671,N 129,449762.854,7662401.423,2225.1079,Numas,,,,Unpublished,NA,N 129,0,5,62.3385,N 130,NE,1,,>300m,True,within shouting distance,± vertical rock,NA,<15m,marginal,poor,none,water run-off,none,none,none,none,none,none,none,none,none,
672,N 130,449160.055,7662504.535,2221.5168,Numas,,,,Unpublished,NA,N 130,191,3,62.3385,N 129,W,1; 5; 6; 10; 12,,>300m,True,within shouting distance,unfavourable,NA,<3m,central,magnificent,Pager's Camp,water run-off; wind erosion,few,few,few,few,none,none,none,none,none,
673,N 131,449554.057,7661697.802,2213.8187,Numas,,,,Unpublished,NA,N 131,8,5,37.1121,N 132,NE,1,,>300m,True,adjacent,± vertical rock,NA,<15m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
674,N 132,449229.551,7661105.402,2214.0887,Numas,,,,Unpublished,NA,N 132,6,5,37.1121,N 131,SW,1,,>300m,True,adjacent,± vertical rock,NA,<15m,marginal,rather nice,none,water run-off,medium quantity,medium quantity,medium quantity,none,none,none,none,none,none,
675,N 133,449252.195,7661955.531,2212.7023,Numas,,,,Unpublished,NA,N 133,7,5,41.2588,N 132,N,1,,>300m,True,adjacent,± vertical rock,NA,>15m,marginal,rather nice,none,water run-off,few,few,few,none,none,none,none,none,none,
676,N 134,449857.866,7662875.987,2303.0395,Numas,,,,Unpublished,NA,N 134,14,4,219.4412,N 135,W,3; 4; 5; 6,,>300m,,>300m,unfavourable,NA,<3m,isolated,magnificent,none,water run-off,few,few,none,none,none,none,none,none,none,
677,N 135,449115.324,7662207.528,2275.3051,Numas,,,,Unpublished,NA,N 135,21,4,219.4412,N 134,W,1; 5; 12,,>300m,True,adjacent,unfavourable,NA,<15m,isolated,poor,none,water run-off,medium quantity,medium quantity,medium quantity,none,none,none,none,none,none,
678,N 136,449838.614,7661386.489,2140.4595,Numas,,,,Unpublished,NA,N 136,2,6,131.3188,N 137,SW,1,,>300m,,>300m,± vertical rock,NA,<3m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
679,N 137,449638.143,7661383.400,2144.5008,Numas,,,,Unpublished,NA,N 137,5,5,131.3188,N 136,NE; NW,1,,>300m,,>300m,± vertical rock,NA,<15m,marginal,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
680,N 138,449337.926,7661556.402,1996.3444,Numas,,,,Unpublished,NA,N 138,46,4,342.2291,N 136,NE,5; 10; 11,,>300m,,>300m,unfavourable,NA,<15m,isolated,rather nice,none,water run-off,few,few,few,none,none,none,none,none,none,
681,N 139,449654.640,7661330.497,2134.7189,Numas,,,,Unpublished,NA,N 139,30,4,47.6091,N 140,W,5; 6; 7; 8; 9,,>300m,,>300m,unfavourable,NA,<3m,marginal,poor,none,water run-off,few,few,few,few,none,none,few,none,none,
682,N 140,449902.682,7661460.246,2132.6305,Numas,,,,Unpublished,NA,N 140,30,4,47.6091,N 139,S; W,3; 4; 5; 6; 8; 10; 11,,>300m,,>300m,unfavourable,NA,<15m,marginal,magnificent,Pager's Camp,water run-off; wind erosion,medium quantity,medium quantity,none,few,none,none,none,none,none,
683,N 141,449294.223,7661319.422,2107.5521,Numas,,,,Unpublished,NA,N 141,26,4,119.8631,N 140,E; W,1; 12,,>300m,,adjacent,± vertical rock,NA,<3m,marginal,rather nice,none,water run-off,few,few,none,few,none,none,none,none,none,
684,N 142,449559.140,7662371.942,2185.5943,Numas,,,,Unpublished,NA,N 142,7,5,187.7898,N 140,N,1,,>300m,,<300m,± vertical rock,NA,<3m,marginal,magnificent,none,water run-off,few,few,none,none,none,none,none,none,none,
685,N 143,448867.992,7662869.131,2204.0882,Numas,,,,Unpublished,NA,N 143,46,4,132.2702,N 144,S,1; 5; 6; 10,,>300m,True,adjacent,unfavourable,NA,<15m,marginal,magnificent,none,water run-off,few,few,few,few,none,none,none,none,none,
686,N 144,448356.315,7662490.012,2186.486,Numas,,,,Unpublished,NA,N 144,3,6,132.2702,N 143,SE,1,,>300m,True,within shouting distance,± vertical rock,NA,<15m,marginal,poor,none,water run-off,few,few,few,none,none,none,none,none,none,
687,N 145,448354.533,7661186.862,1959.3353,Numas,,,,Unpublished,NA,N 145,171,3,329.2478,N 152,SW,5; 8,,>300m,,>300m,spacious,NA,<3m,isolated,magnificent,none,none,few,few,few,few,none,none,none,none,none,
688,N 146,446964.669,7661248.990,1344.5694,Numas,,,,Unpublished,NA,N 146,8,5,564.2582,N 184,NW,5,,<300m,,NA,unfavourable,NA,<15m,isolated,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
689,N 147,448481.784,7660734.017,1739.0881,Numas,,,,Unpublished,NA,N 147,0,NA,505.4958,N 30,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
690,N 148,449476.659,7660774.995,1865.2696,Numas,,,,Unpublished,NA,N 148,0,NA,274.8438,N 50,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
691,N 149,448349.483,7661138.867,1977.5004,Numas,,,,Unpublished,NA,N 149,96,3,125.1566,N 150,SW,5,,<300m,True,within shouting distance,unfavourable,NA,<15m,marginal,magnificent,none,water run-off,few,few,none,few,none,none,none,none,none,
692,N 150,448236.107,7661706.840,1957.5689,Numas,,,,Unpublished,NA,N 150,4,6,72.3579,N 151,N,1,,<300m,True,adjacent,± vertical rock,NA,<15m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
693,N 151,448189.619,7661262.326,1965.2362,Numas,,,,Unpublished,NA,N 151,4,6,72.3579,N 150,W,5,,<300m,True,within shouting distance,unfavourable,NA,<1m,central,magnificent,none,water run-off,none,none,none,none,none,none,none,none,none,
694,N 152,448765.854,7661281.019,1975.1527,Numas,,,,Unpublished,NA,N 152,164,3,76.952,N 151,E; S; W,1; 4; 5; 12,,within shouting distance,True,adjacent,unfavourable,NA,<15m,central,magnificent,none,water run-off,many,medium quantity,many,few,none,none,none,none,none,
695,N 153,448469.796,7661356.366,1992.2575,Numas,,,,Unpublished,NA,N 153,32,4,77.1583,N 152,S,5,True,within shouting distance,True,within shouting distance,unfavourable,NA,<15m,marginal,magnificent,none,water run-off,few,few,none,none,none,none,none,none,none,
696,N 154,448730.623,7661858.964,2037.5114,Numas,,,,Unpublished,NA,N 154,21,4,198.1313,N 155,N; E; S,5; 7; 8,,>300m,True,adjacent,unfavourable,NA,<15m,marginal,poor,Pager's Camp,water run-off,few,few,few,none,none,none,none,none,none,
697,N 155,448868.918,7661054.100,2088.9072,Numas,,,,Unpublished,NA,N 155,25,4,174.876,N 156,N,1,,>300m,,>300m,± vertical rock,NA,<15m,marginal,rather nice,none,water run-off,medium quantity,medium quantity,none,none,none,none,none,none,none,
698,N 156,448378.834,7662115.096,2141.1168,Numas,,,,Unpublished,NA,N 156,20,4,174.876,N 155,SW,5; 6; 10,,>300m,,>300m,unfavourable,NA,<3m,isolated,magnificent,none,water run-off,few,few,none,none,none,none,none,none,none,
699,N 157,448013.417,7663506.802,2152.8265,Numas,,,,Unpublished,NA,N 157,25,4,118.1595,N 158,E,5,,>300m,,within shouting distance,unfavourable,NA,<3m,marginal,poor,none,none,few,few,none,none,none,none,none,none,none,
700,N 158,448651.272,7663396.332,2158.3565,Numas,,,,Unpublished,NA,N 158,0,5,118.1595,N 157,E,5,,>300m,True,adjacent,unfavourable,NA,<3m,marginal,poor,none,water run-off,few,few,none,few,none,none,none,none,none,
701,N 159,448618.098,7663182.155,2140.0142,Numas,,,,Unpublished,NA,N 159,25,4,95.6963,N 165,NE; SW,1; 5; 12,,>300m,True,within shouting distance,unfavourable,NA,<3m,marginal,rather nice,none,water run-off,medium quantity,medium quantity,few,none,none,none,none,none,none,
702,N 160,448081.791,7663779.453,2141.5183,Numas,,,,Unpublished,NA,N 160,4,6,83.4407,N 161,W,5,,>300m,,within shouting distance,unfavourable,NA,<3m,marginal,rather nice,none,water run-off,few,few,few,none,none,none,none,none,none,
703,N 161,448100.430,7663932.367,2142.8706,Numas,,,,Unpublished,NA,N 161,51,4,83.4407,N 160,W,1; 4; 5; 11; 12,,>300m,True,within shouting distance,unfavourable,NA,<3m,marginal,rather nice,none,water run-off,many,medium quantity,medium quantity,many,none,none,none,none,none,
704,N 162,447066.590,7663659.745,2146.7375,Numas,,,,Unpublished,NA,N 162,101,4,75.0965,N 164,N,5; 6; 7; 8; 11; 12,,>300m,True,within shouting distance,unfavourable,NA,>15m,marginal,rather nice,none,none,none,none,none,none,none,none,none,none,none,
705,N 163,447350.993,7663253.902,2133.2055,Numas,,,,Unpublished,NA,N 163,7,5,90.4659,N 162,S,1; 9,,>300m,True,adjacent,unfavourable,NA,<15m,marginal,rather nice,none,water run-off,medium quantity,medium quantity,few,none,none,none,none,none,none,
706,N 164,447915.908,7663480.933,2145.3833,Numas,,,,Unpublished,NA,N 164,395,2,75.0965,N 162,NE,1; 4; 5; 6; 12,,>300m,,>300m,spacious,NA,<15m,central,rather nice,Pager's Camp,water run-off,masses,masses,many,many,none,few,none,none,none,
707,N 165,448539.604,7663978.079,2155.4022,Numas,,,,Unpublished,NA,N 165,9,5,95.6963,N 159,NE,10,,>300m,True,<300m,spacious,NA,<1m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
708,N 166,447143.768,7663453.846,2119.3573,Numas,,,,Unpublished,NA,N 166,2,6,59.143,N 167,NE,1,,NA,,NA,± vertical rock,NA,<3m,marginal,poor,none,water run-off,few,few,none,few,none,none,none,none,none,
709,N 167,447791.912,7663334.768,2116.0026,Numas,,,,Unpublished,NA,N 167,8,5,59.143,N 166,W,1,,>300m,,>300m,± vertical rock,NA,<15m,marginal,poor,none,water run-off,none,none,none,none,none,none,none,none,none,
710,N 168,447950.986,7663151.102,2108.7157,Numas,,,,Unpublished,NA,N 168,26,4,139.4892,N 167,E,3; 4; 5; 6,,>300m,True,within shouting distance,unfavourable,NA,<15m,marginal,rather nice,none,water run-off,many,medium quantity,many,many,none,none,none,none,none,
711,N 169,447003.620,7663462.807,2088.3423,Numas,,,,Unpublished,NA,N 169,56,4,282.5102,N 164,N,1,,>300m,True,adjacent,unfavourable,NA,<15m,isolated,rather nice,none,water run-off,none,none,none,none,none,none,none,none,none,
712,N 170,447737.341,7663182.796,2119.224,Numas,,,,Unpublished,NA,N 170,1,6,47.756,N 171,S,11,,>300m,True,within shouting distance,unfavourable,NA,<3m,central,magnificent,none,water run-off,few,few,none,none,none,none,none,none,none,
713,N 171,447195.647,7663949.389,2118.183,Numas,,,,Unpublished,NA,N 171,17,5,47.756,N 170,N,5; 8,,>300m,,<300m,spacious,NA,<3m,NA,poor,Pager's Camp,water run-off,medium quantity,few,medium quantity,none,none,none,none,none,none,
714,N 172,447483.352,7663609.488,2098.2589,Numas,,,,Unpublished,NA,N 172,47,4,142.2274,N 173,NE; SW,1; 5; 7; 12,,>300m,True,adjacent,unfavourable,NA,<15m,isolated,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
715,N 173,447513.530,7663068.526,2118.1377,Numas,,,,Unpublished,NA,N 173,18,5,142.2274,N 172,NW,1; 4; 5; 6,,>300m,True,>300m,unfavourable,NA,<3m,isolated,magnificent,none,water run-off,medium quantity,medium quantity,none,medium quantity,none,none,none,none,none,
716,N 174,447896.495,7663767.244,2094.7474,Numas,,,,Unpublished,NA,N 174,28,4,153.4838,N 175,W,1; 4; 12,,>300m,True,within shouting distance,unfavourable,NA,<15m,isolated,rather nice,none,water run-off,many,many,few,few,none,none,none,none,none,
717,N 175,446970.890,7663158.629,2071.8082,Numas,,,,Unpublished,NA,N 175,62,3,51.4096,N 176,SW,3; 4; 5; 8; 10; 12,,>300m,True,within shouting distance,spacious,NA,<15m,marginal,rather nice,Pager's Camp,water run-off,many,many,medium quantity,none,none,none,none,none,none,
718,N 176,446016.352,7663098.199,2060.5534,Numas,,,,Unpublished,NA,N 176,21,4,51.4096,N 175,E,5; 12,,>300m,True,within shouting distance,unfavourable,NA,<3m,marginal,rather nice,none,water run-off,few,few,none,none,none,none,none,none,none,
719,N 177,446452.048,7663430.831,2052.9846,Numas,,,,Unpublished,NA,N 177,0,5,180.4828,N 175,NW,1,,>300m,True,adjacent,unfavourable,NA,<3m,marginal,poor,none,water run-off,medium quantity,medium quantity,none,none,none,none,none,none,none,
720,N 178,447918.119,7662968.280,1935.0169,Numas,,,,Unpublished,NA,N 178,41,4,109.5178,N 179,E,1,,>300m,True,within shouting distance,unfavourable,NA,<15m,marginal,poor,none,water run-off,many,many,none,none,none,none,none,none,none,
721,N 179,446218.273,7662272.727,1939.7742,Numas,,,,Unpublished,NA,N 179,2,6,109.5178,N 178,W,1,,>300m,True,adjacent,± vertical rock,NA,<15m,central,poor,none,water run-off,few,few,none,none,none,none,none,none,none,
722,N 180,446769.609,7663457.614,1943.4878,Numas,,,,Unpublished,NA,N 180,15,5,186.2921,N 179,S,5,,>300m,True,within shouting distance,unfavourable,NA,<15m,marginal,poor,none,water run-off,none,none,none,none,none,none,none,none,none,
723,N 181,446535.202,7662299.820,2045.4497,Numas,,,,Unpublished,NA,N 181,0,NA,360.7524,N 180,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
724,N 182,443157.453,7664916.803,1668.4502,Numas,,,,Unpublished,NA,N 182,0,NA,48.3033,C 34,S,5,,>300m,,>300m,spacious,NA,<15m,isolated,magnificent,Pager's Camp,water run-off,medium quantity,medium quantity,medium quantity,medium quantity,none,none,none,none,none,
725,N 183,442781.775,7663272.443,895.7418,Numas,,,,Unpublished,NA,N 183,0,NA,1648.2133,C 36,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
726,N 184,446865.380,7661654.957,1248.2063,Numas,,,,Unpublished,NA,N 184,4,6,79.8962,N 185,S,5,,<300m,,NA,unfavourable,NA,<3m,marginal,magnificent,none,water run-off,none,none,none,none,none,none,none,none,none,
727,N 185,446566.422,7661680.963,1214.8154,Numas,,,,Unpublished,NA,N 185,33,4,53.4066,N 186,W,1; 4; 5,True,within shouting distance,True,adjacent,unfavourable,NA,<15m,central,poor,none,water run-off,medium quantity,medium quantity,few,few,none,none,none,none,none,
728,N 186,446026.429,7661980.208,1197.1194,Numas,,,,Unpublished,NA,N 186,3,6,52.5019,N 187,S,6,,within shouting distance,,NA,unfavourable,NA,<3m,central,1,"European,",fading of colours,none,none,none,none,none,none,none,none,none,
729,N 187,446849.573,7661195.602,1183.5634,Numas,,,,Unpublished,NA,N 187,12,5,52.5019,N 186,SE,1,,within shouting distance,,>300m,unfavourable,NA,<3m,marginal,poor,none,water run-off,none,none,none,none,none,none,none,none,none,
730,N 188,445007.102,7661333.635,1005.1309,Numas,,,,Unpublished,NA,N 188,48,4,1246.6246,N 187,S,4; 5; 6,,<300m,,>300m,spacious,NA,<15m,isolated,rather nice,Pager's Camp,none,medium quantity,medium quantity,few,few,none,few,none,none,none,
731,O 1,457972.625,7656621.342,2178.2844,Orabes,,Toiwo,14.09.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 1,15,5,256.9526,O 2,S,6; 10,,>300m,True,within shouting distance,spacious,6,<1m,marginal,rather nice,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
732,O 2,457874.647,7656508.022,2194.6567,Orabes,,Toiwo/Shipahu,19.09.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 2,1,6,87.3272,O 3,S,10,,>300m,,within shouting distance,spacious,18,<1m,marginal,rather nice,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
733,O 3,457892.850,7656185.666,2189.7932,Orabes,,Toiwo/Shipahu,19.09.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 3,66,3,87.3272,O 2,NE; NW,1; 12,,>300m,True,adjacent,± vertical rock,0,<15m,marginal,magnificent,none,water run-off,few,NA,NA,NA,NA,NA,NA,NA,NA,
734,O 4,458873.427,7656615.912,2106.958,Orabes,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 4,4,6,96.6462,O 6,SW,1,,<300m,True,adjacent,± vertical rock,2,<15m,marginal,rather nice,none,water run-off,none,NA,NA,NA,NA,NA,NA,NA,NA,
735,O 5,458604.489,7656284.854,2098.8454,Orabes,,Toiwo,22.09.1978,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 5,7,5,77.0302,O 6,NW,4,True,within shouting distance,,<300m,unfavourable,7,<3m,marginal,poor,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
736,O 6,458792.772,7656761.831,2090.9243,Orabes,,Toiwo/Shipahu,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 3 – Southern Gorges. Africa Praehistorica 7 (Köln: Heinrich Barth Institut); 1995.,3-927688-09-6,O 6,42,4,77.0302,O 5,NW,4; 5,,within shouting distance,,<300m,unfavourable,6,<15m,marginal,rather nice,none,water run-off,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
